kills,deaths,assists,dealt,taken,heals,cs,vision,duration,win,opscore,dealt_per_minute,taken_per_minute,dealt_per_taken,champCode,id
0,7,19,7698,19223,964,20,26,1519,1,2,0.0845,0.2109,0.4005,53,Blitzcrank
6,7,14,19676,19321,2647,42,32,1555,1,85,0.2109,0.2071,1.0184,85,Kennen
8,5,8,12604,13416,876,23,31,1504,1,21,0.1397,0.1487,0.9395,518,Neeko
7,5,16,17698,13455,8874,27,20,1380,1,7,0.2137,0.1625,1.3153,235,Senna
0,0,8,5539,1404,2344,3,26,1386,1,9,0.0666,0.0169,3.9452,350,Yuumi
2,4,7,4649,12653,2130,23,44,1326,1,2,0.0584,0.1590,0.3674,53,Blitzcrank
4,1,7,9976,9588,2495,48,45,1308,1,14,0.1271,0.1222,1.0405,25,Morgana
8,6,11,13507,15893,2452,16,25,1414,1,5,0.1592,0.1873,0.8499,555,Pyke
3,6,17,12560,13722,5223,28,29,1339,1,7,0.1563,0.1708,0.9153,235,Senna
4,5,15,13416,27826,2368,24,58,1943,1,11,0.1151,0.2387,0.4821,89,Leona
13,13,14,39025,39319,10427,69,74,2262,1,93,0.2875,0.2897,0.9925,76,Nidalee
2,2,16,4821,9865,1629,10,40,1174,1,2,0.0684,0.1400,0.4887,53,Blitzcrank
3,11,11,9439,29366,6659,56,69,1929,1,5,0.0816,0.2537,0.3214,555,Pyke
0,0,0,0,140,27,0,1,105,1,5,0.0000,0.0222,0.0000,555,Pyke
4,3,15,12501,20588,7804,54,96,1896,1,33,0.1099,0.1810,0.6072,26,Zilean
0,9,18,19068,42013,8267,38,112,2554,1,11,0.1244,0.2742,0.4539,89,Leona
1,0,10,7686,8361,3239,20,49,1813,1,26,0.0707,0.0769,0.9193,432,Bard
0,8,12,6412,20967,326,34,40,1636,1,2,0.0653,0.2136,0.3058,53,Blitzcrank
5,8,11,17996,14183,1297,40,22,1225,1,25,0.2448,0.1930,1.2688,35,Shaco
1,1,15,5171,8226,230,19,22,964,1,2,0.0894,0.1422,0.6286,53,Blitzcrank
2,2,20,13263,4883,4118,3,14,1509,1,9,0.1465,0.0539,2.7162,350,Yuumi
2,7,3,6449,9436,2956,1,20,1171,1,9,0.0918,0.1343,0.6834,350,Yuumi
10,8,15,19432,18248,2671,16,26,1422,1,40,0.2278,0.2139,1.0649,7,Leblanc
4,2,4,7050,8028,927,56,11,934,1,59,0.1258,0.1433,0.8782,202,Jhin
9,1,5,10406,5690,4168,33,8,997,1,7,0.1740,0.0951,1.8288,235,Senna
6,5,10,16673,17694,2420,16,53,1749,1,96,0.1589,0.1686,0.9423,60,Elise
1,7,20,8382,18960,1812,23,31,1505,1,4,0.0928,0.2100,0.4421,111,Nautilus
2,6,25,19367,25080,1582,57,82,2088,1,1,0.1546,0.2002,0.7722,412,Thresh
2,3,21,12797,33594,25881,39,99,2221,1,13,0.0960,0.2521,0.3809,12,Alistar
15,2,5,18393,16170,7843,142,10,1391,1,127,0.2204,0.1937,1.1375,360,Samira
7,3,15,15902,9535,6017,18,48,1362,1,7,0.1946,0.1167,1.6678,235,Senna
2,3,6,16326,12767,2078,27,67,1743,1,10,0.1561,0.1221,1.2788,43,Karma
3,5,17,6115,18065,3660,40,40,1562,1,2,0.0652,0.1928,0.3385,53,Blitzcrank
5,6,6,6306,18132,4917,21,25,1385,1,5,0.0759,0.2182,0.3478,555,Pyke
1,5,11,5947,15319,1673,21,45,1638,1,2,0.0605,0.1559,0.3882,53,Blitzcrank
6,8,7,16263,34333,8175,44,48,1719,1,45,0.1577,0.3329,0.4737,223,TahmKench
1,6,8,6742,13747,2273,32,70,1713,1,15,0.0656,0.1338,0.4904,57,Maokai
3,8,5,8380,18357,1085,69,13,1675,1,27,0.0834,0.1827,0.4565,80,Pantheon
3,5,10,17942,31927,8435,48,89,2173,1,45,0.1376,0.2449,0.5620,223,TahmKench
